email,prefix,first_name,last_name,pronouns,position,department,phone,office,affiliations,audience,teaser_title,teaser_summary
kwame.asante@yale.edu,Dr.,Kwame,Asante,he/him,ASSISTANT PROFESSOR OF MINERALOGY,Earth & Planetary Sciences,(203) 432-0121,KGL 316,Faculty;Mineralogy,Prospective Students,Kwame Asante,<p>High-pressure mineral physics and diamond anvil cell experiments.</p>
freya.ostergaard@yale.edu,Prof.,Freya,Ostergaard,she/her,PROFESSOR OF PALEONTOLOGY,Earth & Planetary Sciences,203-432-0122,KGL 322,Faculty; Paleontology,"Prospective Students, Researchers",Freya Ostergaard,"<p>Curates the invertebrate collections and works on mass extinction records in the fossil record of the Late Ordovician.</p>"
b.nakamura@yale.edu,Dr.,Beatrice,Nakamura,she/her,SENIOR LECTURER,Earth & Planetary Sciences,(203) 432-0123,KGL 118,Faculty;Teaching;Climate,Current Students,Beatrice Nakamura,<p>Directs the undergraduate studies programme.</p>
omar.haddad@yale.edu,,Omar,Haddad,he/him,phd candidate,Earth & Planetary Sciences,,KGL 010,Graduate Students;Planetary Science,Current Students,Omar Haddad,<p>Simulates impact cratering on rocky bodies.</p>
lucia.ferrante@yale.edu,Dr.,Lucia,Ferrante,she/her,POSTDOCTORAL FELLOW,Earth & Planetary Sciences,,KGL 108,Postdocs;Paleontology,Researchers,Lucia Ferrante,<p>Micropaleontology of deep sea cores.</p>
theo.mbeki@yale.edu,Prof.,Theo,Mbeki,he/him,professor of hydrology,Earth & Planetary Sciences,(203) 432-0126,KGL 328,Faculty;Hydrology,Prospective Students,Theo Mbeki,"<p>Groundwater systems and water security, with long-running field sites in southern Africa and the American Southwest.</p>"
ingrid.solheim@yale.edu,Dr.,Ingrid,Solheim,she/her,LAB MANAGER,Earth & Planetary Sciences,(203) 432-0127,KGL 020,Research Staff;Geochemistry,Researchers,Ingrid Solheim,<p>Manages the clean laboratory and mass spectrometry facility.</p>
p.raghunathan@yale.edu,,Priya,Raghunathan,she/her,GRADUATE RESEARCH ASSISTANT,Earth & Planetary Sciences,,KGL 012,Graduate Students;Mineralogy,Current Students,Priya Raghunathan,<p>Crystal chemistry of mantle phases.</p>
callum.stewart@yale.edu,Dr.,Callum,Stewart,he/him,ASSOCIATE RESEARCH SCIENTIST,Earth & Planetary Sciences,(203) 432-0129,KGL 132,Research Staff;Geophysics,Researchers,Callum Stewart,<p>Seismic instrumentation and network operations.</p>
yuki.tanaka@yale.edu,Prof.,Yuki,Tanaka,they/them,PROFESSOR OF ATMOSPHERIC SCIENCE,Earth & Planetary Sciences,(203) 432-0130,KGL 334,Faculty;Climate;Atmospheric Science,"Prospective Students, Researchers",Yuki Tanaka,<p>Atmospheric dynamics and the predictability of extreme weather.</p>
,Dr.,Unknown,Placeholder,,VISITING SCHOLAR,Earth & Planetary Sciences,,,Visiting,Researchers,Placeholder Record,<p>This row has no email address and should be skipped by the import.</p>
zainab.farouk@yale.edu,Dr.,Zainab,Farouk,she/her,VISITING ASSOCIATE PROFESSOR,Earth & Planetary Sciences,(203) 432-0132,KGL 340,Faculty; Visiting; Hydrology,Researchers,Zainab Farouk,<p>Visiting from the University of Cape Town for the academic year.</p>
